"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2001","Mariners","2043","6474","169","927","881","174","9.5 %","15.3 %",".157",".320",".288",".360",".445",".347","116","16.2","143.0","84.6","44.4"
"1998","Braves","1971","6217","215","826","794","98","8.8 %","17.1 %",".181",".300",".272",".342",".453",".346","108","0.8","61.7","124.6","37.6"
"2016","Cubs","2332","6335","199","808","767","66","10.4 %","21.1 %",".173",".302",".256",".343",".429",".333","106","17.3","61.3","105.5","37.2"
"1996","Mariners","1736","6518","245","993","954","90","10.3 %","16.1 %",".197",".312",".287",".366",".484",".367","112","-1.2","109.5","33.1","37.1"
"2011","Yankees","2301","6306","222","867","836","147","9.9 %","18.0 %",".181",".292",".263",".343",".444",".345","113","6.6","101.6","38.5","37.0"
"2013","Red Sox","2264","6382","178","853","819","123","9.1 %","20.5 %",".169",".329",".277",".349",".446",".347","114","13.3","116.7","14.9","36.6"
"2015","Blue Jays","2337","6231","232","891","852","88","9.1 %","18.5 %",".188",".298",".269",".340",".457",".344","117","11.0","135.9","5.0","36.5"
"1990","Athletics","1891","6240","164","733","693","141","10.4 %","15.9 %",".137",".281",".254",".336",".391",".329","109","4.3","70.6","85.0","36.4"
"2011","Red Sox","2269","6414","203","875","842","102","9.0 %","17.3 %",".181",".314",".280",".349",".461",".352","117","-12.2","114.3","16.2","36.4"
"1998","Yankees","1962","6444","207","965","907","153","10.1 %","15.9 %",".172",".317",".288",".364",".460",".360","116","3.1","138.5","6.9","36.1"
"2010","Reds","2370","6285","188","790","761","93","8.3 %","19.4 %",".164",".314",".272",".338",".436",".340","106","12.7","57.2","101.3","35.8"
"2003","Braves","2362","6378","235","907","872","68","8.5 %","14.6 %",".192",".302",".284",".349",".475",".354","112","9.5","105.3","46.7","35.6"
"1993","Giants","2229","6271","168","808","759","120","8.2 %","14.8 %",".151",".303",".276",".340",".427",".337","107","-1.7","55.6","75.0","35.3"
"2016","Red Sox","2284","6320","208","878","836","83","8.8 %","18.4 %",".179",".320",".282",".348",".461",".346","113","10.6","109.9","15.9","35.2"
"1998","Astros","2125","6441","166","874","818","155","9.6 %","17.4 %",".156",".321",".280",".356",".436",".347","113","8.7","112.1","44.5","35.2"
"2018","Dodgers","2574","6358","235","804","756","75","10.2 %","22.6 %",".191",".294",".250",".333",".442",".333","111","11.4","99.0","41.6","35.1"
"2002","Giants","2263","6304","198","784","751","74","9.8 %","15.2 %",".175",".289",".266",".344",".442",".338","109","2.8","73.5","72.1","35.1"
"2009","Rays","2345","6223","199","803","765","194","10.3 %","19.7 %",".177",".303",".263",".343",".439",".342","109","21.6","90.5","40.2","35.0"
"2007","Phillies","2446","6537","213","892","850","138","9.8 %","18.4 %",".184",".311",".274",".354",".458",".351","105","20.6","63.6","78.5","34.9"
"2000","Giants","2123","6418","226","925","889","79","11.0 %","16.1 %",".194",".303",".278",".362",".472",".359","112","-1.3","103.7","53.7","34.7"
"1999","Indians","1859","6554","209","1009","960","147","11.3 %","16.8 %",".177",".323",".289",".373",".467",".367","112","6.9","114.5","18.6","34.4"
"2003","Cardinals","2391","6466","196","876","827","82","9.0 %","14.7 %",".175",".302",".279",".350",".454",".346","109","9.2","83.9","53.5","34.4"
"2009","Yankees","2369","6449","244","915","881","111","10.3 %","15.7 %",".194",".306",".283",".362",".478",".365","117","0.2","137.5","-21.4","34.4"
"2012","Yankees","2367","6231","245","804","774","93","9.1 %","18.9 %",".188",".293",".265",".337",".453",".342","113","2.3","97.3","17.3","34.2"
"2017","Astros","2313","6271","238","896","854","98","8.1 %","17.3 %",".196",".309",".282",".346",".478",".349","122","-0.4","167.9","-39.7","34.2"
"2008","Cardinals","2396","6370","174","779","744","73","9.1 %","15.5 %",".152",".312",".281",".350",".433",".342","107","-10.0","46.4","93.3","34.2"
"1997","Mariners","1911","6385","264","925","890","89","9.8 %","17.4 %",".204",".305",".280",".355",".485",".363","116","1.0","133.6","-10.9","34.0"
"2012","Angels","2267","6121","187","767","732","134","7.3 %","18.2 %",".159",".311",".274",".332",".433",".331","113","13.5","109.8","5.9","34.0"
"2007","Yankees","2366","6528","201","968","929","123","9.8 %","15.2 %",".174",".318",".290",".366",".463",".361","119","11.9","168.4","-47.2","33.9"
"2011","Rangers","2186","6261","210","855","807","143","7.6 %","14.9 %",".177",".304",".283",".340",".460",".347","112","20.6","107.4","3.5","33.8"
"2017","Dodgers","2464","6191","221","770","730","77","10.5 %","22.3 %",".188",".293",".249",".334",".437",".330","104","5.8","40.6","96.0","33.7"
"2004","Cardinals","2381","6297","214","855","817","111","8.7 %","17.2 %",".182",".307",".278",".344",".460",".344","107","18.9","72.1","60.7","33.6"
"2008","Red Sox","2293","6402","173","845","807","120","10.1 %","16.7 %",".168",".315",".280",".358",".447",".351","110","-4.7","72.2","39.1","33.3"
"1993","Yankees","1724","6359","178","821","793","39","9.9 %","14.3 %",".156",".304",".279",".353",".435",".350","114","-5.2","101.6","22.8","32.7"
"2008","Phillies","2396","6273","214","799","762","136","9.3 %","17.8 %",".182",".283",".255",".332",".438",".334","98","23.6","4.7","122.7","32.6"
"2003","Red Sox","2313","6530","238","961","932","88","9.5 %","14.4 %",".202",".307",".289",".360",".491",".364","120","3.5","167.2","-61.5","32.6"
"2018","Red Sox","2345","6302","208","876","829","125","9.0 %","19.9 %",".185",".309",".268",".339",".453",".340","110","-5.1","71.9","32.0","32.1"
"2009","Phillies","2285","6338","224","820","788","119","9.3 %","18.2 %",".189",".286",".258",".334",".447",".339","103","20.0","42.5","80.3","32.0"
"1997","Braves","2208","6315","174","791","755","108","9.5 %","18.4 %",".156",".310",".270",".343",".426",".338","101","-2.9","7.4","114.3","31.8"
"2014","Pirates","2362","6224","156","682","659","104","8.4 %","20.0 %",".145",".307",".259",".330",".404",".325","108","3.8","61.6","40.0","31.8"
"1990","Pirates","2217","6161","138","733","693","137","9.4 %","14.8 %",".146",".286",".259",".330",".405",".328","104","4.6","32.9","55.8","31.7"
"2014","Dodgers","2364","6231","134","718","686","138","8.3 %","20.0 %",".140",".318",".265",".333",".406",".327","112","-0.4","81.4","17.4","31.5"
"2010","Yankees","2313","6379","201","859","823","103","10.4 %","17.8 %",".169",".300",".267",".350",".436",".346","112","12.1","101.5","-27.3","31.4"
"1997","Indians","1917","6304","220","868","810","118","9.8 %","15.1 %",".181",".309",".286",".358",".467",".360","113","-1.4","106.5","-8.1","31.3"
"2002","Mariners","2251","6362","152","814","771","137","9.9 %","15.8 %",".144",".307",".275",".350",".419",".335","110","12.9","87.6","8.8","31.3"
"2000","Angels","1839","6373","236","864","837","93","9.5 %","16.1 %",".193",".303",".280",".352",".472",".356","106","-4.5","49.9","52.7","31.3"
"1998","Giants","2304","6484","161","845","800","102","10.5 %","16.0 %",".147",".308",".274",".353",".421",".340","108","-1.4","62.2","52.7","31.2"
"2000","Cardinals","2196","6369","235","887","841","87","10.6 %","19.7 %",".185",".308",".270",".356",".455",".353","105","-5.2","36.0","82.1","31.2"
"1998","Red Sox","2043","6302","205","876","827","72","8.6 %","16.6 %",".183",".310",".280",".348",".463",".352","107","-2.7","54.8","44.2","31.1"
"2003","Mariners","2180","6281","139","795","759","108","9.3 %","15.7 %",".139",".306",".271",".344",".410",".331","104","2.4","36.5","62.6","31.1"
"2001","Cardinals","2300","6177","199","814","768","91","8.6 %","17.6 %",".172",".302",".270",".339",".441",".335","101","2.7","11.2","103.0","31.1"
"1997","Astros","2164","6363","133","777","720","171","9.9 %","17.1 %",".144",".298",".259",".344",".403",".330","100","2.8","4.7","107.8","31.0"
"1991","Pirates","2219","6269","126","768","725","124","9.9 %","14.4 %",".135",".291",".263",".338",".398",".330","109","6.4","70.1","23.1","31.0"
"2010","Rays","2361","6270","160","802","769","172","10.7 %","20.6 %",".156",".293",".247",".333",".403",".326","106","37.6","78.6","-4.0","31.0"
"2001","Giants","2231","6408","235","799","775","57","9.8 %","17.0 %",".194",".290",".266",".342",".460",".341","108","-7.2","60.2","46.3","30.9"
"2005","Indians","2166","6255","207","790","760","62","8.0 %","17.5 %",".181",".302",".271",".334",".453",".340","110","3.6","76.4","20.2","30.9"
"1999","Reds","2274","6378","209","865","820","164","8.9 %","17.6 %",".179",".304",".272",".341",".451",".344","96","8.4","-25.3","137.4","30.8"
"2014","Angels","2468","6284","155","773","729","81","7.8 %","20.1 %",".147",".305",".259",".322",".406",".321","110","1.3","67.3","15.1","30.7"
"2007","Tigers","2269","6364","177","887","857","103","7.4 %","16.6 %",".171",".323",".287",".345",".458",".347","108","8.0","75.1","19.4","30.7"
"2011","Brewers","2292","6113","185","721","693","94","7.9 %","17.7 %",".164",".293",".261",".325",".425",".327","103","0.3","20.6","84.0","30.6"
"2008","Cubs","2345","6384","184","855","811","87","10.0 %","18.6 %",".165",".321",".278",".354",".443",".349","104","6.1","33.2","70.0","30.6"
"2018","Yankees","2269","6271","267","851","821","63","10.0 %","22.7 %",".202",".285",".249",".329",".451",".335","111","14.6","93.6","-3.7","30.6"
"2010","Brewers","2262","6304","182","750","710","81","8.7 %","19.3 %",".161",".304",".262",".335",".424",".334","104","0.6","32.4","74.7","30.5"
"2011","Diamondbacks","2230","6096","172","731","702","133","8.7 %","20.5 %",".163",".294",".250",".322",".413",".322","97","9.0","-14.8","119.1","30.5"
"1993","Braves","2086","6234","169","767","712","125","9.0 %","15.2 %",".146",".287",".262",".331",".408",".328","94","6.4","-36.7","121.1","30.5"
"1992","Athletics","1801","6275","142","745","693","143","11.3 %","13.2 %",".129",".279",".258",".346",".386",".334","113","4.3","97.2","-11.9","30.5"
"2002","Cardinals","2366","6246","175","787","758","86","8.7 %","14.8 %",".157",".292",".268",".338",".425",".331","101","11.7","18.1","82.2","30.4"
"2018","Athletics","2403","6255","227","813","778","35","8.8 %","22.1 %",".187",".294",".252",".325",".439",".329","110","-5.8","70.1","18.2","30.4"
"1996","Indians","1705","6486","218","952","904","160","10.3 %","13.0 %",".182",".309",".293",".369",".475",".367","111","7.8","110.5","-35.0","30.2"
"1995","Red Sox","1522","5716","175","791","754","99","9.8 %","16.1 %",".175",".310",".280",".357",".455",".356","107","-0.8","53.2","59.8","30.2"
"2007","Red Sox","2278","6426","166","867","829","96","10.7 %","16.2 %",".165",".315",".279",".362",".444",".352","109","-5.0","70.7","11.8","29.7"
"2011","Reds","2358","6329","183","735","697","97","8.5 %","19.8 %",".152",".297",".256",".326",".408",".322","99","8.7","3.6","86.0","29.7"
"1999","Mets","2323","6454","181","853","814","150","11.1 %","15.4 %",".156",".308",".279",".363",".434",".350","105","2.5","46.0","57.0","29.7"
"2008","Rays","2299","6312","180","774","735","142","9.9 %","19.4 %",".162",".302",".260",".340",".422",".335","105","5.6","43.8","34.2","29.7"
"1991","Tigers","1792","6359","209","817","778","109","11.0 %","18.6 %",".169",".277",".247",".333",".416",".336","106","3.0","50.3","31.9","29.6"
"2005","Braves","2347","6186","184","769","733","92","8.6 %","17.5 %",".170",".298",".265",".333",".435",".331","100","-1.7","-3.1","96.7","29.6"
"2009","Angels","2246","6305","173","883","841","148","8.7 %","16.7 %",".156",".322",".285",".350",".441",".346","108","8.6","75.5","-4.1","29.4"
"1993","Astros","1993","6136","138","716","656","103","8.1 %","14.8 %",".142",".296",".267",".330",".409",".327","101","-3.1","4.0","72.4","29.4"
"2011","Cardinals","2403","6242","162","762","726","57","8.7 %","15.7 %",".151",".305",".273",".341",".425",".334","112","-16.5","72.3","16.4","29.3"
"2005","Phillies","2273","6345","167","807","760","116","10.1 %","17.1 %",".154",".306",".270",".348",".423",".335","98","9.2","-2.9","88.2","29.3"
"2012","Giants","2384","6200","103","718","675","118","7.8 %","17.7 %",".128",".315",".269",".327",".397",".314","101","13.0","22.4","69.3","29.2"
"2015","Giants","2342","6153","136","696","663","93","7.4 %","18.8 %",".139",".313",".267",".326",".406",".318","104","-0.4","25.6","58.3","29.1"
"1992","Blue Jays","1645","6224","163","780","737","129","9.0 %","15.0 %",".151",".288",".263",".333",".414",".337","108","9.2","62.6","13.3","29.1"
"2004","Braves","2349","6339","178","803","767","86","9.3 %","18.3 %",".164",".309",".270",".343",".434",".336","100","14.1","13.0","71.5","29.0"
"1999","Orioles","1958","6409","203","851","804","107","9.6 %","13.9 %",".169",".298",".279",".353",".447",".350","107","0.7","56.7","21.7","28.9"
"2000","Mariners","1985","6444","198","907","869","122","12.0 %","16.7 %",".172",".299",".269",".361",".442",".352","107","-0.5","64.5","12.0","28.8"
"1993","Blue Jays","1603","6319","159","847","796","170","9.3 %","13.6 %",".157",".303",".279",".350",".436",".347","109","15.1","88.1","-3.7","28.6"
"1991","White Sox","1874","6360","139","758","722","134","9.6 %","14.1 %",".129",".288",".262",".336",".391",".328","104","-2.6","28.4","44.2","28.6"
"1997","Red Sox","1875","6430","185","851","810","68","8.0 %","16.2 %",".172",".325",".291",".352",".463",".354","109","-6.6","65.7","-0.7","28.5"
"2017","Yankees","2294","6354","241","858","821","90","9.7 %","21.8 %",".185",".304",".262",".339",".447",".336","108","11.1","70.3","-2.4","28.5"
"2008","Mets","2405","6388","172","799","751","138","9.7 %","16.0 %",".154",".296",".266",".340",".420",".332","100","12.7","13.4","68.6","28.5"
"2002","Yankees","2135","6377","223","897","857","100","10.0 %","18.4 %",".180",".310",".275",".354",".455",".352","116","-1.0","122.9","-55.4","28.5"
"2015","Dodgers","2379","6090","187","667","638","59","9.2 %","20.7 %",".163",".292",".250",".326",".413",".322","106","-15.3","28.2","51.2","28.4"
"2013","Rays","2423","6242","165","700","670","73","9.4 %","18.8 %",".151",".295",".257",".329",".408",".324","107","2.5","50.1","10.5","28.4"
"2012","Cardinals","2391","6326","159","765","732","91","8.4 %","18.8 %",".150",".316",".271",".338",".421",".329","106","-1.6","46.5","33.9","28.4"
"2012","Brewers","2415","6224","202","776","741","158","7.5 %","19.9 %",".177",".299",".259",".325",".437",".329","102","12.1","29.5","53.9","28.4"
"1998","Cardinals","2305","6413","223","810","781","133","10.5 %","18.4 %",".183",".289",".258",".341",".441",".340","104","8.7","39.8","47.7","28.3"
"1995","Reds","2042","5575","161","747","694","190","9.3 %","17.0 %",".169",".303",".270",".342",".440",".342","104","7.0","37.0","63.3","28.3"
"2003","Giants","2272","6204","180","755","713","53","9.6 %","15.8 %",".161",".291",".264",".338",".425",".330","100","-8.3","-11.7","94.8","28.2"
"2002","Angels","2307","6327","152","851","811","117","7.3 %","12.7 %",".150",".303",".282",".341",".433",".336","105","12.5","49.4","16.5","28.2"
"2018","Indians","2413","6300","216","818","786","135","8.8 %","18.9 %",".176",".291",".259",".332",".434",".330","104","13.7","46.5","18.9","28.2"
"2006","Mets","2279","6291","200","834","800","146","8.7 %","17.0 %",".181",".293",".264",".334",".445",".334","99","20.5","13.8","66.4","28.1"
"2001","Athletics","1830","6385","199","884","835","68","10.0 %","16.0 %",".175",".288",".264",".345",".439",".338","108","0.6","64.5","0.4","28.0"
"2004","Dodgers","2357","6244","203","761","731","102","8.6 %","17.5 %",".161",".291",".262",".332",".423",".327","97","1.7","-19.9","96.9","28.0"
"2010","Twins","2290","6257","142","781","749","68","8.9 %","15.5 %",".148",".306",".273",".341",".422",".335","106","-15.8","29.5","15.3","27.9"
"2013","Tigers","2274","6388","176","796","767","35","8.3 %","16.8 %",".151",".320",".283",".346",".434",".341","114","-19.0","83.7","-33.5","27.8"
"1995","Indians","1527","5686","207","840","803","132","9.5 %","13.5 %",".188",".306",".291",".361",".479",".366","115","1.8","116.2","-24.1","27.8"
"1993","Orioles","1687","6310","157","786","744","73","10.4 %","14.7 %",".146",".293",".267",".346",".413",".338","104","-6.4","24.3","52.8","27.8"
"2007","Mets","2335","6344","177","804","761","200","8.7 %","15.5 %",".157",".303",".275",".342",".432",".336","100","14.2","17.4","57.5","27.7"
"1993","Phillies","2195","6527","156","877","811","91","10.2 %","16.1 %",".153",".309",".274",".351",".426",".344","106","6.4","53.1","-7.5","27.7"
"2017","Marlins","2399","6248","194","778","743","91","7.8 %","20.5 %",".163",".313",".267",".331",".431",".325","102","1.4","13.7","61.0","27.7"
"2011","Rays","2284","6152","172","707","674","155","9.3 %","19.4 %",".159",".281",".244",".322",".402",".319","103","10.4","35.1","21.3","27.7"
"1998","Rangers","1876","6401","201","940","894","82","9.3 %","16.3 %",".173",".321",".289",".357",".462",".357","108","-4.1","60.8","-0.4","27.6"
"2005","Red Sox","2344","6403","199","910","863","45","10.2 %","16.3 %",".174",".310",".281",".357",".454",".352","112","-2.9","92.8","-33.9","27.6"
"1997","Giants","2249","6296","172","784","746","121","10.2 %","17.8 %",".156",".292",".258",".337",".414",".329","99","3.5","-3.9","82.5","27.5"
"2004","Giants","2405","6466","183","850","805","43","10.9 %","13.5 %",".168",".290",".270",".357",".438",".340","105","-6.0","35.7","28.4","27.5"
"1992","Tigers","1671","6310","182","791","746","66","10.7 %","16.7 %",".151",".284",".256",".337",".407",".337","108","-5.7","49.8","8.0","27.4"
"2018","Brewers","2496","6210","218","754","711","124","8.6 %","23.5 %",".172",".302",".252",".323",".424",".322","99","8.2","1.0","69.7","27.4"
"2009","Dodgers","2352","6385","145","780","739","116","9.5 %","16.7 %",".141",".309",".270",".346",".412",".332","102","4.0","18.7","56.2","27.4"
"1999","Astros","2043","6403","168","823","784","166","11.4 %","17.8 %",".154",".306",".267",".355",".420",".341","101","-0.7","7.5","71.8","27.4"
"1991","Twins","1903","6218","140","776","733","107","8.5 %","12.0 %",".139",".300",".280",".344",".420",".342","107","-5.7","46.1","18.4","27.4"
"2014","Orioles","2294","6130","211","705","681","44","6.5 %","21.0 %",".166",".296",".256",".311",".422",".323","104","-6.2","21.9","34.5","27.3"
"1999","Diamondbacks","2100","6415","216","908","865","137","9.2 %","16.3 %",".182",".303",".277",".347",".459",".348","98","9.9","-7.3","84.6","27.3"
"2012","Braves","2264","6126","149","700","660","101","9.3 %","21.0 %",".142",".296",".247",".320",".389",".310","92","7.2","-48.9","124.1","27.2"
"2007","Braves","2398","6374","176","810","781","64","8.4 %","18.0 %",".160",".314",".275",".339",".435",".337","99","-6.2","-12.5","80.5","27.2"
"2000","Indians","1930","6512","221","950","889","113","10.5 %","16.2 %",".182",".318",".288",".367",".470",".364","109","7.8","89.1","-29.4","27.1"
"2013","Giants","2396","6168","107","629","596","67","7.6 %","17.5 %",".121",".304",".260",".320",".381",".309","100","-4.1","-1.7","68.5","27.1"
"2005","Cardinals","2324","6246","170","805","757","83","8.5 %","15.2 %",".153",".297",".270",".339",".423",".331","100","9.0","12.4","54.7","27.1"
"1996","Rangers","1706","6494","221","928","890","83","10.2 %","16.0 %",".184",".311",".284",".358",".469",".358","104","3.3","35.7","3.2","27.0"
"1992","White Sox","1724","6267","110","738","686","160","9.9 %","12.5 %",".122",".283",".261",".336",".383",".326","104","8.5","37.2","17.8","26.9"
"2017","Indians","2367","6234","212","818","780","88","9.7 %","18.5 %",".186",".295",".263",".339",".449",".336","105","11.1","49.7","5.4","26.8"
"2004","Indians","2287","6452","184","858","820","94","9.4 %","15.6 %",".168",".305",".276",".351",".444",".345","109","-4.7","72.7","-18.2","26.8"
"1993","White Sox","1693","6253","162","776","731","106","9.7 %","13.3 %",".146",".284",".265",".338",".411",".333","104","-1.1","26.8","41.3","26.7"
"2004","Phillies","2317","6456","215","840","802","100","10.0 %","17.5 %",".176",".297",".267",".345",".443",".340","100","5.5","5.8","50.4","26.7"
"2014","Nationals","2265","6216","152","686","635","101","8.3 %","21.0 %",".140",".303",".253",".321",".393",".317","99","15.3","8.4","46.5","26.7"
"1993","Cubs","2268","6217","161","738","706","100","7.2 %","14.8 %",".143",".297",".270",".325",".414",".326","95","3.4","-35.8","82.3","26.6"
"2001","Rockies","2179","6394","213","923","874","132","8.0 %","16.1 %",".191",".322",".292",".354",".483",".357","95","2.6","-42.0","102.6","26.5"
"1998","Indians","1852","6376","198","850","811","143","9.9 %","16.6 %",".176",".302",".272",".347",".448",".347","103","2.0","29.1","20.9","26.5"
"2003","Yankees","2180","6431","230","877","845","98","10.6 %","16.2 %",".182",".295",".271",".356",".453",".351","115","-0.3","119.4","-72.0","26.5"
"1990","Blue Jays","1679","6223","167","767","729","111","8.5 %","15.6 %",".155",".291",".265",".328",".419",".333","107","-0.7","49.5","8.4","26.5"
"2017","Cubs","2420","6283","223","822","785","62","9.9 %","22.3 %",".182",".302",".255",".338",".437",".331","101","-6.8","4.2","57.4","26.5"
"2003","Phillies","2227","6333","166","791","757","72","10.3 %","18.2 %",".158",".301",".261",".343",".419",".332","100","1.2","1.3","59.1","26.4"
"2003","Astros","2390","6320","191","805","763","66","8.8 %","16.2 %",".169",".289",".263",".336",".431",".333","97","10.9","-15.9","76.6","26.4"
"1990","Mets","2107","6182","172","775","734","110","8.7 %","13.8 %",".152",".273",".256",".323",".408",".325","103","6.7","30.0","4.9","26.4"
"2015","Astros","2333","6073","230","729","691","121","8.0 %","22.9 %",".187",".292",".250",".315",".437",".325","108","8.1","66.8","-17.1","26.3"
"1999","Rangers","1807","6389","230","945","897","111","9.6 %","14.7 %",".186",".313",".293",".361",".479",".363","109","-2.1","74.6","-20.4","26.3"
"1994","Astros","1504","4500","120","602","573","124","8.8 %","16.0 %",".167",".311",".278",".347",".445",".343","109","5.5","60.3","58.4","26.2"
"2013","Braves","2293","6133","181","688","656","64","8.8 %","22.6 %",".153",".300",".249",".321",".402",".318","102","-5.7","3.8","54.6","26.1"
"2006","Padres","2396","6287","161","731","698","123","9.0 %","17.6 %",".154",".299",".263",".332",".416",".325","99","5.2","-5.0","65.1","26.1"
"2018","Astros","2348","6146","205","797","763","71","9.2 %","19.5 %",".170",".289",".255",".329",".425",".327","110","-7.0","65.1","-14.5","26.1"
"2013","Cardinals","2341","6202","125","783","745","45","7.8 %","17.9 %",".133",".314",".269",".332",".401",".322","104","-9.1","21.0","34.9","26.1"
"2001","Diamondbacks","2180","6349","208","818","776","71","9.2 %","16.6 %",".175",".294",".267",".341",".442",".336","97","-2.6","-31.4","88.6","26.0"
"1998","Mariners","1858","6331","234","859","823","115","8.8 %","17.1 %",".192",".302",".276",".345",".468",".353","109","5.9","77.8","-30.5","26.0"
"2000","White Sox","1791","6410","216","978","926","119","9.2 %","15.0 %",".184",".309",".286",".356",".470",".357","106","5.3","58.5","-9.6","25.9"
"1999","Yankees","1891","6416","193","900","855","104","11.2 %","15.2 %",".171",".309",".282",".366",".453",".358","111","-4.9","90.5","-39.9","25.9"
"2017","Cardinals","2416","6219","196","761","728","81","9.5 %","21.7 %",".170",".304",".256",".334",".426",".326","100","2.0","-1.4","59.0","25.9"
"2018","Braves","2377","6251","175","759","717","90","8.2 %","20.6 %",".161",".302",".257",".324",".417",".319","97","12.6","-13.2","67.5","25.9"
"2004","Padres","2316","6313","139","768","722","52","9.0 %","14.4 %",".141",".301",".273",".342",".414",".329","103","8.1","30.5","22.3","25.9"
"2006","Phillies","2410","6509","216","865","823","92","9.6 %","18.5 %",".180",".302",".267",".347",".447",".341","100","18.5","15.5","34.6","25.9"
"2002","Twins","2289","6196","167","768","731","79","7.6 %","17.6 %",".165",".309",".272",".332",".437",".334","101","-5.6","1.1","45.0","25.7"
"1993","Tigers","1701","6505","178","899","853","104","11.8 %","17.2 %",".159",".313",".275",".362",".434",".354","114","-3.8","104.8","-54.8","25.7"
"2014","Giants","2353","6087","132","665","636","56","7.0 %","20.5 %",".133",".304",".255",".311",".388",".308","99","0.5","-5.1","54.7","25.6"
"2016","Giants","2404","6271","130","715","675","79","9.1 %","17.7 %",".140",".299",".258",".329",".398",".315","96","-2.8","-34.8","90.1","25.6"
"2010","Giants","2354","6143","162","697","660","55","7.9 %","17.9 %",".151",".293",".257",".321",".408",".320","98","-18.3","-31.6","95.2","25.5"
"2015","Cubs","2406","6200","171","689","657","95","9.1 %","24.5 %",".154",".305",".244",".321",".398",".313","96","15.1","-15.8","64.7","25.5"
"2013","Orioles","2246","6144","212","745","719","79","6.8 %","18.3 %",".171",".288",".260",".313",".431",".323","101","13.8","16.4","20.4","25.5"
"2013","Athletics","2313","6209","186","767","725","74","9.2 %","19.0 %",".165",".289",".254",".327",".419",".327","108","10.0","66.2","-32.1","25.4"
"2006","Blue Jays","2329","6241","199","809","778","65","8.2 %","14.5 %",".179",".306",".284",".348",".463",".349","107","-15.0","43.6","3.4","25.4"
"2018","Cubs","2490","6369","167","761","722","66","9.0 %","21.8 %",".152",".313",".258",".333",".410",".321","100","2.2","-1.6","47.3","25.4"
"1992","Orioles","1731","6292","148","705","680","89","10.3 %","13.1 %",".138",".279",".259",".340",".398",".334","107","-2.3","43.9","-5.6","25.4"
"2004","Cubs","2290","6281","235","789","755","66","7.8 %","17.2 %",".190",".292",".268",".328",".458",".336","98","-12.0","-26.2","74.9","25.4"
"1995","Giants","1992","5603","152","652","610","138","8.4 %","18.9 %",".151",".292",".253",".323",".404",".320","93","6.3","-45.0","112.3","25.4"
"1992","Braves","2251","6143","138","682","641","126","8.0 %","15.0 %",".134",".280",".254",".316",".388",".316","95","0.8","-32.2","79.2","25.2"
"1996","Mets","2235","6220","147","746","697","97","7.2 %","17.2 %",".143",".307",".270",".324",".412",".321","94","-3.6","-50.7","120.2","25.2"
"2007","Brewers","2330","6238","231","801","774","96","8.0 %","18.2 %",".194",".289",".262",".329",".456",".337","100","7.4","7.7","44.1","25.1"
"1992","Pirates","2253","6269","106","693","656","110","9.1 %","13.9 %",".126",".283",".255",".324",".381",".316","100","0.2","-3.7","43.0","25.1"
"2016","Dodgers","2491","6164","189","725","680","45","8.5 %","21.4 %",".160",".294",".249",".319",".409",".314","97","2.0","-20.2","74.2","25.1"
"1991","Rangers","1981","6441","177","829","774","102","9.3 %","16.1 %",".154",".301",".270",".341",".424",".342","112","0.4","93.5","-62.2","25.1"
"2014","Tigers","2330","6202","155","757","731","106","7.1 %","18.4 %",".150",".319",".277",".331",".426",".331","112","-7.3","73.0","-39.8","25.0"
"1996","Braves","2227","6293","197","773","735","83","8.4 %","16.4 %",".162",".297",".270",".333",".432",".333","99","-4.2","-12.5","80.4","25.0"
"2009","Brewers","2321","6296","182","785","757","68","9.7 %","19.6 %",".164",".305",".263",".341",".426",".336","103","-9.6","10.2","43.2","25.0"
"1998","Orioles","2017","6304","214","817","783","86","9.4 %","14.3 %",".174",".291",".273",".347",".447",".347","109","-3.8","66.0","-29.3","24.9"
"2015","Mets","2325","6145","177","683","654","51","7.9 %","21.0 %",".156",".287",".244",".312",".400",".309","98","6.2","-6.8","51.0","24.9"
"2008","Braves","2407","6368","130","753","721","58","9.7 %","16.1 %",".138",".309",".270",".345",".408",".332","99","-5.8","-12.5","58.5","24.8"
"1996","Cardinals","2258","6177","142","759","711","149","8.0 %","17.6 %",".140",".307",".267",".330",".407",".322","93","2.2","-55.0","121.8","24.8"
"2010","Cardinals","2347","6241","150","736","689","79","8.7 %","16.5 %",".139",".296",".263",".332",".402",".322","99","1.8","-6.8","60.6","24.8"
"2008","Brewers","2227","6252","198","750","722","108","8.8 %","19.2 %",".179",".287",".253",".325",".431",".329","97","8.9","-11.7","60.8","24.8"
"2018","Angels","2467","6108","214","721","690","89","8.4 %","21.3 %",".171",".277",".242",".313",".413",".313","100","2.8","5.4","33.3","24.8"
"2018","Cardinals","2464","6200","205","759","725","63","8.5 %","22.3 %",".160",".294",".249",".321",".409",".316","98","12.9","-1.1","45.6","24.7"
"2004","Red Sox","2417","6515","222","949","912","68","10.1 %","18.3 %",".190",".319",".282",".360",".472",".358","114","-17.1","97.9","-66.6","24.7"
"2004","Astros","2391","6271","187","804","756","89","9.4 %","15.9 %",".169",".293",".267",".342",".436",".336","98","10.0","-6.8","48.7","24.7"
