"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1998","Devil Rays","1982","6157","111","620","579","120","7.7 %","18.0 %",".123",".306",".261",".321",".385",".312","83","-7.8","-147.4","71.3","13.6"
"2005","Dodgers","2351","6134","149","685","653","58","8.8 %","17.8 %",".142",".290",".253",".326",".395",".317","91","-21.4","-93.4","29.0","13.6"
"2002","Orioles","2217","6096","165","667","636","110","7.4 %","16.3 %",".157",".271",".246",".309",".403",".311","90","-1.2","-77.5","5.0","13.5"
"1993","Reds","2223","6164","137","722","669","142","7.9 %","16.6 %",".132",".299",".264",".324",".396",".319","91","5.2","-65.3","-17.3","13.5"
"1990","Royals","1754","6099","100","707","660","107","8.2 %","14.4 %",".128",".299",".267",".328",".395",".325","102","-5.4","10.3","-75.9","13.5"
"2006","Rockies","2306","6348","157","813","761","85","8.8 %","17.5 %",".163",".310",".270",".341",".433",".333","87","-2.7","-111.8","39.3","13.5"
"2014","Diamondbacks","2274","6089","118","615","573","86","6.5 %","19.1 %",".127",".293",".248",".302",".376",".300","83","1.5","-112.8","51.6","13.5"
"2018","Blue Jays","2435","6076","217","709","680","47","8.2 %","22.8 %",".183",".286",".244",".312",".427",".319","101","-27.1","-22.8","-46.9","13.5"
"2005","Pirates","2289","6221","139","680","656","73","7.6 %","17.6 %",".141",".297",".259",".322",".400",".315","89","-5.0","-91.3","22.8","13.4"
"2010","Dodgers","2310","6140","120","667","621","92","8.7 %","19.3 %",".127",".299",".252",".322",".379",".309","92","1.3","-60.6","7.0","13.4"
"2010","Rockies","2379","6265","173","770","741","99","9.3 %","20.3 %",".162",".310",".263",".336",".425",".333","91","9.3","-62.1","4.6","13.4"
"1994","Mariners","1204","4361","153","569","549","48","8.5 %","15.0 %",".182",".287",".269",".335",".451",".339","99","0.5","-4.7","-7.1","13.3"
"1991","Mets","2141","6077","117","640","605","153","9.5 %","13.0 %",".121",".264",".244",".317",".365",".308","94","2.8","-41.8","-30.0","13.3"
"2008","Padres","2343","6244","154","637","615","36","8.3 %","20.2 %",".140",".294",".250",".317",".390",".311","92","-4.2","-63.7","-2.8","13.2"
"1997","Brewers","2085","6097","135","681","643","103","8.1 %","15.9 %",".138",".291",".260",".325",".398",".319","86","-2.7","-112.2","32.0","13.2"
"2002","Expos","2262","6250","162","735","695","118","9.2 %","17.7 %",".157",".298",".261",".334",".418",".326","93","-0.3","-58.5","-12.7","13.2"
"2007","Nationals","2528","6201","123","673","646","69","8.5 %","18.2 %",".134",".300",".256",".325",".390",".315","88","-10.8","-108.6","39.1","13.2"
"2005","Twins","2235","6192","134","688","644","102","7.8 %","15.8 %",".132",".291",".259",".323",".391",".312","89","-14.5","-96.1","18.6","13.2"
"1997","Cubs","2353","6098","127","687","642","116","7.4 %","16.4 %",".133",".300",".263",".321",".396",".315","83","-2.2","-137.5","76.5","13.2"
"2002","Padres","2372","6178","136","662","627","71","8.9 %","17.2 %",".129",".288",".253",".321",".381",".309","91","-12.4","-81.8","12.0","13.1"
"1994","Tigers","1205","4574","161","652","622","46","11.4 %","19.6 %",".189",".301",".265",".352",".454",".351","106","-5.2","32.4","-51.8","13.1"
"1995","Cardinals","1940","5349","107","563","533","79","8.2 %","17.2 %",".127",".283",".247",".314",".374",".306","83","-5.5","-121.9","71.5","13.0"
"2005","Giants","2360","6077","128","649","617","71","7.1 %","14.8 %",".135",".290",".261",".319",".396",".312","86","-13.9","-121.6","53.1","13.0"
"2009","Mets","2377","6159","95","671","631","122","8.5 %","15.1 %",".124",".307",".270",".335",".394",".320","94","-5.4","-48.2","-14.3","13.0"
"2011","Astros","2377","6150","95","615","579","118","6.5 %","18.9 %",".116",".308",".258",".311",".374",".301","88","-0.6","-89.1","24.9","12.9"
"2013","Rockies","2330","6152","159","706","673","112","6.9 %","19.6 %",".149",".317",".270",".323",".418",".324","87","17.4","-72.7","8.0","12.9"
"2012","Dodgers","2356","6091","116","637","607","104","7.9 %","19.0 %",".122",".298",".252",".317",".374",".302","90","-8.6","-81.9","21.0","12.8"
