R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,predictions,nameFull
780.0,770.0,13.0,0.2514734774066797,0.4532416502946955,0.0,0.0,0.0,0.0,0,Nick Swisher
938.0,1101.0,21.0,0.27895480225988695,0.5270127118644068,0.0,0.0,15.0,0.0,0,Mark Teixeira
931.0,1023.0,64.0,0.2882096069868996,0.4790057104467585,0.0,0.0,0.0,1505.0,1,Miguel Tejada
902.0,906.0,15.0,0.2899435028248588,0.5789830508474576,0.0,0.0,425.0,0.0,0,Jim Thome
730.0,747.0,54.0,0.29308797127468583,0.5056104129263914,0.0,0.0,0.0,1175.0,1,Troy Tulowitzki
395.0,402.0,32.0,0.2940147007350368,0.4672733636681834,0.0,123.0,590.0,45.0,0,Justin Turner
759.0,706.0,26.0,0.2414372767388107,0.4471527631855432,0.0,1283.0,0.0,0.0,0,Dan Uggla
640.0,513.0,269.0,0.2435897435897436,0.40119363395225466,0.0,48.0,50.0,0.0,0,Melvin Upton
858.0,801.0,136.0,0.27012791572610984,0.4823175319789315,0.0,0.0,0.0,0.0,0,Justin Upton
546.0,599.0,39.0,0.2556805141152169,0.4314895570346569,0.0,202.0,154.0,912.0,0,Juan Uribe
839.0,787.0,127.0,0.28852596314907875,0.5010469011725294,0.0,1207.0,0.0,0.0,0,Chase Utley
536.0,611.0,25.0,0.26703545385969324,0.44707065627357306,1141.0,0.0,0.0,0.0,0,Jason Varitek
704.0,465.0,222.0,0.277337559429477,0.4297034186099162,0.0,0.0,0.0,0.0,0,Shane Victorino
622.0,383.0,196.0,0.2678494158372999,0.3396797922977066,0.0,1.0,0.0,1311.0,0,Omar Vizquel
852.0,813.0,71.0,0.3133038585209003,0.5403938906752411,0.0,0.0,0.0,0.0,0,Joey Votto
564.0,568.0,28.0,0.2685207384320307,0.4315511867657636,0.0,1040.0,35.0,0.0,0,Neil Walker
827.0,865.0,93.0,0.27396787009846263,0.4721022629124201,0.0,0.0,0.0,0.0,0,Vernon Wells
702.0,643.0,121.0,0.2767398411957029,0.4705744978981784,0.0,0.0,0.0,0.0,0,Jayson Werth
409.0,501.0,8.0,0.2497965825874695,0.40710604827773256,981.0,0.0,0.0,0.0,0,Matt Wieters
559.0,627.0,35.0,0.2525879917184265,0.4666149068322981,2.0,0.0,0.0,0.0,0,Josh Willingham
853.0,876.0,183.0,0.30123743232791955,0.5063805104408353,0.0,0.0,1364.0,2.0,0,David Wright
630.0,601.0,26.0,0.28274894810659185,0.4838709677419355,0.0,0.0,418.0,0.0,0,Kevin Youkilis
918.0,811.0,81.0,0.3002437043054427,0.4485783915515841,0.0,415.0,293.0,787.0,1,Michael Young
727.0,777.0,37.0,0.28168728452646524,0.47394037720543497,0.0,0.0,1119.0,0.0,0,Ryan Zimmerman
727.0,634.0,109.0,0.2681846932321316,0.4372759856630825,0.0,735.0,8.0,200.0,0,Ben Zobrist
