Name,playerid
Mike Jackson,732
Matt Kinney,737
Kyle Lohse,739
Joe Mays,740
Eric Milton,743
Brad Radke,748
Rick Reed,750
Juan Rincon,752
J.C. Romero,754
Johan Santana,755
Mike Trombley,758
Bob Wells,760
Tony Armas Jr.,761
Bruce Chen,769
Scott Downs,773
Matt Herges,780
Graeme Lloyd,783
Tomo Ohka,788
Carl Pavano,790
Javier Vazquez,801
Masato Yoshii,807
Randy Choate,813
Brandon Claussen,814
Roger Clemens,815
Orlando Hernandez,823
Sterling Hitchcock,824
Steve Karsay,829
Ted Lilly,833
Ramiro Mendoza,836
Mike Mussina,837
Andy Pettitte,840
Bill Pulsipher,842
Mariano Rivera,844
Mike Stanton,849
Mike Thurman,852
David Wells,855
Pedro Astacio,862
Armando Benitez,865
Jeff D'Amico,871
Shawn Estes,873
John Franco,874
Mark Guthrie,876
Al Leiter,883
Jae Seo,895
Steve Trachsel,898
David Weathers,902
Chad Bradford,904
Justin Duchscherer,910
Tim Hudson,921
Billy Koch,924
Cory Lidle,926
Mike Magnante,929
Jim Mecir,930
Mark Mulder,932
Barry Zito,944
Terry Adams,946
Ricky Bottalico,948
Rheal Cormier,952
Brandon Duckworth,954
Jose Mesa,961
Brett Myers,962
Vicente Padilla,964
Robert Person,966
Cliff Politte,967
Carlos Silva,973
Turk Wendell,975
Randy Wolf,976
Jimmy Anderson,977
Bronson Arroyo,978
Joe Beimel,979
Kris Benson,982
Brian Boehringer,984
Mike Fetters,988
Josh Fogg,989
Sean Lowe,994
Josias Manzanillo,996
Brian Meadows,998
Al Reyes,1005
Scott Sauerbeck,1007
Ron Villone,1010
Ryan Vogelsong,1011
Kip Wells,1012
Dave Williams,1013
Mike Williams,1014
Adam Eaton,1029
Alan Embree,1030
Trevor Hoffman,1035
Kevin Jarvis,1037
Bobby Jones,1039
Brian Lawrence,1045
Jake Peavy,1051
Steve Reed,1053
Brian Tollberg,1055
Brett Tomko,1056
Paul Abbott,1061
James Baldwin,1064
Ryan Franklin,1076
Freddy Garcia,1077
John Halama,1080
Shigetoshi Hasegawa,1082
Julio Mateo,1087
Gil Meche,1089
Jamie Moyer,1091
Jeff Nelson,1092
Joel Pineiro,1094
Arthur Rhodes,1097
Rafael Soriano,1100
Manny Aybar,1107
Jason Christiansen,1111
Aaron Fultz,1113
Livan Hernandez,1116
Marco Estrada,1118
Joe Nathan,1122
Robb Nen,1123
Russ Ortiz,1124
Felix Rodriguez,1127
Kirk Rueter,1128
Jason Schmidt,1131
Jerome Williams,1137
Jay Witasick,1138
Tim Worrell,1139
Andy Benes,1144
Tommy Hunter,1157
Jason Isringhausen,1158
Darryl Kile,1163
Steve Kline,1164
Matt Morris,1172
Jason Simontacchi,1181
Garrett Stephenson,1185
Mike Timlin,1187
Dave Veres,1188
Woody Williams,1190
Wilson Alvarez,1193
Jesus Colome,1198
Travis Harper,1211
Joe Kennedy,1217
Tom Martin,1219
Ryan Rupe,1223
Jorge Sosa,1228
Tanyon Sturtze,1230
Paul Wilson,1234
Esteban Yan,1236
Victor Zambrano,1237
Dave Burba,1239
Hector Carrasco,1240
Francisco Cordero,1243
Doug Davis,1244
R.A. Dickey,1245
Adam Ottavino,1247
Hideki Irabu,1255
Colby Lewis,1259
Chan Ho Park,1267
Jay Powell,1271
Rich Rodriguez,1276
Kenny Rogers,1277
Rudy Seanez,1279
Anthony Telford,1282
Ismael Valdez,1283
Todd Van Poppel,1284
Steve Woodard,1285
Chris Carpenter,1292
Kelvim Escobar,1298
Scott Eyre,1300
Roy Halladay,1303
Felix Heredia,1304
Esteban Loaiza,1310
Brandon Lyon,1312
Justin Miller,1313
Steve Parris,1316
Dan Plesac,1319
Pete Walker,1325
Willie Banks,1434
Joaquin Benoit,1437
Brendan Donnelly,1441
Chad Durbin,1442
Aaron Harang,1451
Mike James,1453
Bobby Jones,1454
Mike Lincoln,1457
Dan Miceli,1463
Guillermo Mota,1467
Hipolito Pichardo,1472
Jon Rauch,1475
Jesus Sanchez,1476
Aaron Small,1477
Felix Doubront,1478
Mac Suzuki,1485
Josh Towers,1489
Rob Bell,1492
Zach Day,1496
John Lackey,1507
Mike Maroth,1508
Oliver Perez,1514
John Riedling,1515
Kirk Saarloos,1516
Runelvys Hernandez,1528
Brandon Backe,1529
Pete Munro,1546
Aaron Cook,1571
Mark Hendrickson,1574
Sean Doolittle,1581
Jason Davis,1598
Pedro Feliciano,1601
Nate Robertson,1620
Salomon Torres,1628
Cliff Lee,1636
Wes Obermueller,1637
Francisco Rodriguez,1642
Brian Tallet,1646
Luis Ayala,1650
Russ Springer,1652
Cal Eldred,1653
Oscar Villarreal,1654
Seth McClung,1657
Jose Contreras,1660
Doug Linton,1662
Javier Lopez,1663
D.J. Carrasco,1666
Jeremy Bonderman,1667
Wil Ledezma,1669
Trever Miller,1672
Lance Painter,1675
Kiko Calero,1676
David Cone,1680
Scott Service,1684
Brandon Webb,1692
Claudio Vargas,1695
Chris Capuano,1701
Dontrelle Willis,1703
Steve Avery,1706
Todd Wellemeyer,1709
Geremi Gonzalez,1711
Carlos Reyes,1721
Jose Valverde,1726
Edgar Gonzalez,1727
Rod Beck,1730
Aaron Heilman,1751
Dan Haren,1757
Kevin Correia,1767
John Wasdin,1768
Rich Harden,1772
Sergio Mitre,1773
Chad Gaudin,1783
Jimmy Gobble,1791
Kevin Gregg,1793
Michael Gonzalez,1794
J.J. Putz,1795
Neal Cotts,1797
Amaury Telemaco,1802
Mike Wood,1806
Geoff Geary,1813
Doug Waechter,1814
Chad Cordero,1816
Noah Lowry,1833
Matt Belisle,1837
Edwin Jackson,1841
John Grabow,1848
Ryan Madson,1852
Shawn Camp,1855
Michael Wuertz,1856
Sean Burnett,1886
Matt Moore,1890
David Aardsma,1902
Jason Frasor,1906
Scott Proctor,1911
Matt Thornton,1918
Daniel Cabrera,1931
Frank Francisco,1933
Mike Adams,1937
Justin Germano,1938
Zack Greinke,1943
Matt Whiteside,1956
Ivan Nova,1994
Tim Byrdak,1995
Dave Borkowski,2002
Clayton Kershaw,2036
Justin Masterson,2038
Jorge De La Rosa,2047
Gustavo Chacin,2060
Matt Guerrier,2061
Jose Veras,2063
Jeremy Guthrie,2072
Chien-Ming Wang,2074
Heath Bell,2080
Chris Narveson,2141
Alfredo Simon,2155
Boof Bonser,2159
Taylor Buchholz,2168
Chad Qualls,2170
Joel Hanrahan,2186
Ronald Belisario,2203
Ian Snell,2227
Adam Wainwright,2233
Blaine Boyer,2237
Joel Peralta,2332
Hector Rondon,2391
Corey Kluber,2429
Todd Coffey,2467
Lance Lynn,2520
Robinson Tejeda,2575
Wandy Rodriguez,2586
Jhoulys Chacin,2608
Scott Atchison,2642
Brian Matusz,2646
Chris Sampson,2651
Brett Cecil,2660
Joba Chamberlain,2692
Rick Porcello,2717
Carlos Marmol,2790
Manny Corpas,2807
Ross Detwiler,2859
Santiago Casilla,2873
Luis Avilan,2882
Juan Oviedo,2886
Zach McAllister,2895
Jeff Locke,2929
Kenley Jansen,3096
Luis Mendoza,3126
Tony Watson,3132
Max Scherzer,3137
David Price,3184
Will Harris,3192
Zach Miner,3193
Chris Young,3196
Ervin Santana,3200
Francisco Liriano,3201
T.J. McFarland,3237
Zack Britton,3240
Ryan Rowland-Smith,3245
Jeff Samardzija,3254
Roberto Hernandez,3273
Joe Smith,3281
Hiroki Kuroda,3283
Anibal Sanchez,3284
Hector Noesi,3292
Darren O'Day,3321
Matt Garza,3340
Mitchell Boggs,3344
Cesar Ramos,3357
Ubaldo Jimenez,3374
Ricky Romero,3403
Brian Burres,3425
Danny Duffy,3542
Clay Buchholz,3543
Liam Hendriks,3548
Clayton Richard,3551
C.J. Wilson,3580
Kyle Davies,3642
Jim Johnson,3656
Jesse Litsch,3688
Brad Hennessey,3720
Brandon League,3731
Felipe Paulino,3777
Mat Latos,3815
Ricky Nolasco,3830
Zach Duke,3840
Brett Oberholtzer,3855
Rubby de la Rosa,3862
Gavin Floyd,3886
Edward Mujica,3970
Edinson Volquez,3990
Yusmeiro Petit,4020
Hector Santiago,4026
Brian Duensing,4064
Pedro Strop,4070
Rafael Perez,4078
Junichi Tazawa,4079
James Russell,4089
Luke Gregerson,4090
Carlos Villanueva,4138
Derek Holland,4141
Jake Arrieta,4153
Armando Galarraga,4222
Wilton Lopez,4227
Jered Weaver,4235
Micah Owings,4253
David Huff,4257
David Hernandez,4259
Mark Melancon,4264
Nick Blackburn,4270
Manny Parra,4279
Matt Albers,4300
Justin Wilson,4301
Tyler Chatwood,4338
Lance Cormier,4346
Craig Breslow,4363
Joe Saunders,4366
Jeremy Hellickson,4371
Kameron Loe,4422
Jon Niese,4424
Jordan Zimmermann,4505
Scott Olsen,4529
Randy Wells,4535
Jason Hammel,4538
Josh Johnson,4567
Tony Pena,4573
Clay Hensley,4593
Matt Lindstrom,4604
Dave Bush,4635
Jason Bergmann,4640
Brandon McCarthy,4662
Sam LeCure,4664
Charlie Morton,4676
Pat Neshek,4682
Jeff Francis,4684
Matt Cain,4732
Jonathan Broxton,4759
Felix Hernandez,4772
John Maine,4773
Matt Shoemaker,4776
Matt Capps,4788
Rich Hill,4806
Jesse Crain,4817
Kyle McClellan,4845
Joe Blanton,4849
Mike Montgomery,4869
Brandon Maurer,4878
Chuck James,4886
Peter Moylan,4891
Scott Kazmir,4897
Brad Thompson,4911
Jarrod Parker,4913
Jon Lester,4930
Fernando Salas,4971
Cole Hamels,4972
Fernando Abad,4994
Jake Diekman,5003
Franklin Morales,5088
Scott Diamond,5089
Jeurys Familia,5114
Alfredo Aceves,5164
Ernesto Frieri,5178
Mike Pelfrey,5203
Chris Perez,5213
Wade LeBlanc,5221
Vin Mazzaro,5231
Chris Tillman,5279
Samuel Deduno,5285
Michael Pineda,5372
Brad Peacock,5401
Jesse Chavez,5448
Dana Eveland,5508
James McDonald,5523
Madison Bumgarner,5524
Boone Logan,5525
Phil Coke,5535
Matt Harrison,5551
Jair Jurrjens,5556
Jo-Jo Reyes,5559
Tyler Clippard,5640
Henderson Alvarez,5669
Junior Guerra,5702
Tim Lincecum,5705
Brian Bannister,5718
Eric O'Flaherty,5746
Chad Billingsley,5842
Jason Motte,5861
Danny Salazar,5867
Jeff Karstens,5879
Sean Marshall,5905
Wesley Wright,5960
Jonathan Papelbon,5975
Randall Delgado,5985
Takashi Saito,6021
Kelvin Herrera,6033
Scott Baker,6176
Shaun Marcum,6204
Dellin Betances,6216
Kyle Kendrick,6230
Tom Gorzelanny,6244
Aaron Laffey,6248
Trevor Cahill,6249
Scott Feldman,6283
George Sherrill,6291
David Phelps,6316
Esmil Rogers,6317
John Danks,6329
Chris Archer,6345
Jake Odorizzi,6397
Tim Stauffer,6432
Vance Worley,6435
Kevin Jepsen,6475
Steve Cishek,6483
Brian Wilson,6485
Alex Cobb,6562
Tom Koehler,6570
Marc Rzepczynski,6612
Brad Brach,6627
Carlos Carrasco,6632
Craig Kimbrel,6655
Alex Colome,6661
Andrew Miller,6785
Julio Teheran,6797
Robbie Ross Jr.,6819
Johnny Cueto,6893
Chase Anderson,6895
Martin Perez,6902
Joakim Soria,6941
Luke Hochevar,6943
Drew Storen,6983
Ian Kennedy,6986
Ryan Pressly,7005
Miguel Gonzalez,7024
James Shields,7059
Dustin Moseley,7060
John Lannan,7080
Daniel Hudson,7146
Greg Holland,7196
Nick Masset,7267
Craig Stammen,7274
Brad Ziegler,7293
Josh Collmenter,7312
Casey Janssen,7355
Dan Otero,7385
Dillon Gee,7396
J.A. Happ,7410
Mark Lowe,7416
Wade Davis,7441
Gio Gonzalez,7448
Phil Hughes,7450
Anthony Swarzak,7466
Ryan Webb,7474
Jonathan Sanchez,7507
Collin McHugh,7531
Lucas Harrell,7541
Jake McGee,7550
Nick Vincent,7555
Jordan Lyles,7593
Tommy Milone,7608
Carlos Torres,7624
Andy Sonnanstine,7667
Juan Nicasio,7731
Wily Peralta,7738
Mike Fiers,7754
Shawn Kelley,7773
Daisuke Matsuzaka,7775
Jerry Blevins,7841
Tyson Ross,7872
Ramon Ramirez,7986
Eric Stults,8011
Glen Perkins,8041
Jason Vargas,8044
Will Smith,8048
Dan Jennings,8073
Dallas Braden,8099
Bryan Shaw,8110
Jaime Garcia,8137
Yovani Gallardo,8173
Steven Wright,8185
Justin Thompson,8217
Brett Anderson,8223
David Robertson,8241
J.P. Howell,8245
Huston Street,8258
Ross Ohlendorf,8268
Tony Sipp,8280
Jared Burton,8346
AJ Ramos,8350
Homer Bailey,8362
Brad Bergesen,8375
Philip Humber,8586
Jeff Niemann,8591
Dustin McGowan,8600
Bobby Jenks,8645
Paul Maholm,8678
Justin Verlander,8700
Tanner Roark,8753
Wade Miley,8779
Andrew Cashner,8782
Antonio Bastardo,8844
Adam Warren,9029
Jeanmar Gomez,9033
John Axford,9059
Jeremy Sowers,9083
Brad Hand,9111
Tommy Hanson,9129
Nathan Eovaldi,9132
Sean O'Sullivan,9137
Koji Uehara,9227
Alex Wilson,9239
Patrick Corbin,9323
Jared Hughes,9325
Brandon Morrow,9346
Josh Tomlin,9388
Kris Medlen,9417
Doug Fister,9425
Dallas Keuchel,9434
Dan Straily,9460
George Kontos,9486
Jeremy Jeffress,9490
Bud Norris,9492
Vidal Nuno,9674
Burke Badenhop,9736
Joe Kelly,9761
Garrett Richards,9784
Sergio Romo,9817
Travis Wood,9884
Chris Rusin,9895
Chris Volstad,9901
Kevin Slowey,9918
Bobby Parnell,9926
Brandon Kintzler,9939
Mike Dunn,9948
Tom Wilhelmsen,9975
Mike Minor,10021
Kyle Gibson,10123
Mike Leake,10130
Stephen Strasburg,10131
Jacob Turner,10185
Tyler Skaggs,10190
Shelby Miller,10197
Aroldis Chapman,10233
Alexi Ogando,10261
Jarred Cosart,10304
Zack Wheeler,10310
Erasmo Ramirez,10314
Aaron Loup,10343
Jimmy Nelson,10547
Addison Reed,10586
Chad Bettis,10587
Chris Sale,10603
Drew Hutchison,10732
Trevor Rosenthal,10745
Shane Greene,10756
Mike Foltynewicz,10811
Jacob deGrom,10954
A.J. Griffin,11132
Vince Velasquez,11189
Jose Quintana,11423
Drew Pomeranz,11426
Robbie Ray,11486
Aaron Sanchez,11490
Jose Fernandez,11530
Jose Urena,11589
Jameson Taillon,11674
Carlos Martinez,11682
Sam Dyson,11710
Matt Harvey,11713
Justin Grimm,11720
Drew Smyly,11760
Noah Syndergaard,11762
James Paxton,11828
Taijuan Walker,11836
Yordano Ventura,11855
Matt Andriese,12022
Kyle Hendricks,12049
Cody Allen,12183
Tony Cingrani,12555
Blake Treinen,12572
Adam Morgan,12580
Nathan Karns,12638
Jerad Eickhoff,12664
Roenis Elias,12673
Trevor Bauer,12703
Nick Martinez,12730
Sonny Gray,12768
Matt Wisler,12804
Mike Clevinger,12808
Tyler Anderson,12880
Dylan Bundy,12917
Archie Bradley,12918
Hisashi Iwakuma,13048
Anthony DeSclafani,13050
Wei-Yin Chen,13071
Yu Darvish,13074
Gerrit Cole,13125
Eduardo Rodriguez,13164
Zach Davies,13183
Michael Fulmer,13218
Steven Matz,13361
Marcus Stroman,13431
Blake Snell,13543
Alex Wood,13781
Michael Wacha,14078
Kevin Gausman,14107
Lance McCullers Jr.,14120
Jose Berrios,14168
Hyun-Jin Ryu,14444
Adam Conley,14457
Luis Perdomo,14682
Michael Lorenzen,14843
Zack Godley,14862
Jon Gray,14916
Chad Kuhl,14975
German Marquez,15038
Andrew Heaney,15423
Matthew Boyd,15440
Kendall Graveman,15514
Masahiro Tanaka,15764
Sean Manaea,15873
Luis Severino,15890
Odrisamer Despaigne,16017
Carlos Rodon,16137
Aaron Nola,16149
Kyle Freeland,16256
Trevor Williams,16977
Raisel Iglesias,17130
Kenta Maeda,18498
Don Aase,1000003
Glenn Abbott,1000010
Jim Abbott,1000012
Jim Acker,1000030
Juan Agosto,1000084
Rick Aguilera,1000086
Jack Aker,1000097
Vic Albury,1000109
Scott Aldred,1000115
Doyle Alexander,1000122
Neil Allen,1000154
Allan Anderson,1000216
Larry Andersen,1000236
Joaquin Andujar,1000266
Bob Apodaca,1000279
Luis Aquino,1000285
Steve Arlin,1000303
Jack Armstrong,1000313
Mike Armstrong,1000314
Rene Arocha,1000325
Fernando Arroyo,1000327
Paul Assenmacher,1000344
Keith Atherton,1000348
Don August,1000364
Jerry Augustine,1000365
Bobby Ayala,1000384
Stan Bahnsen,1000414
Roger Bailey,1000429
Scott Bailes,1000430
Doug Bair,1000439
Jeff Ballard,1000490
Scott Bankhead,1000510
Floyd Bannister,1000516
Ray Bare,1000536
Len Barker,1000546
Brian Barnes,1000560
Salome Barojas,1000584
Francisco Barrios,1000603
Jim Barr,1000606
Ross Baumgarten,1000689
Jose Bautista,1000694
Jim Beattie,1000731
Joe Beckwith,1000758
Steve Bedrosian,1000766
Tim Belcher,1000789
Stan Belinda,1000792
Bruce Berenyi,1000864
Juan Berenguer,1000865
Sean Bergman,1000881
Jim Bibby,1000945
Mike Bielecki,1000951
Jack Billingham,1000970
Doug Bird,1000976
Tim Birtsas,1000985
Bud Black,1001007
Dennis Blair,1001029
Willie Blair,1001033
Steve Blass,1001058
Vida Blue,1001094
Bert Blyleven,1001098
Mike Boddicker,1001111
Joe Boever,1001118
Tommy Boggs,1001123
Brian Bohanon,1001126
Tom Bolton,1001155
Mark Bomback,1001156
Ricky Bones,1001161
Bill Bonham,1001165
Pedro Borbon,1001195
Rich Bordi,1001199
Chris Bosio,1001212
Shawn Boskie,1001213
Dick Bosman,1001215
Kent Bottenfield,1001226
Ryan Bowen,1001248
Oil Can Boyd,1001279
Tom Bradley,1001316
Jeff Brantley,1001358
Fred Breining,1001381
Ken Brett,1001402
Jim Brewer,1001406
Nelson Briles,1001432
Pete Broberg,1001454
Jackie Brown,1001522
Tom Browning,1001566
Warren Brusstar,1001599
Ron Bryant,1001608
Jim Bullinger,1001646
Jim Bunning,1001653
Tom Burgmeier,1001668
Tim Burke,1001692
Britt Burns,1001702
Todd Burns,1001721
Ray Burris,1001729
Steve Busby,1001745
Tom Buskey,1001759
John Butcher,1001762
Bill Butler,1001771
Marty Bystrom,1001802
Greg Cadaret,1001810
Les Cain,1001821
Mike Caldwell,1001830
Bill Campbell,1001874
Rick Camp,1001901
John Candelaria,1001909
Tom Candiotti,1001911
Buzz Capra,1001928
Steve Carlton,1001964
Don Carman,1001967
Cris Carpenter,1001978
Don Carrithers,1001992
Clay Carroll,1001997
Chuck Cary,1002027
Bobby Castillo,1002057
Tony Castillo,1002069
Bill Castro,1002077
Bill Caudill,1002088
John Cerutti,1002106
Bill Champion,1002127
Norm Charlton,1002160
Larry Christenson,1002215
Jim Clancy,1002255
Bryan Clark,1002270
Mark Clark,1002296
Ken Clay,1002328
Mark Clear,1002330
Pat Clements,1002339
Reggie Cleveland,1002347
David Clyde,1002367
Jaime Cocanower,1002380
Chris Codiroli,1002388
Jim Colborn,1002409
Joe Coleman,1002428
Pat Combs,1002480
Steve Comer,1002482
Tim Conroy,1002543
Steve Cooke,1002570
Doug Corbett,1002608
Ray Corbin,1002614
Francisco Cordova,1002623
Mike Corkins,1002630
Jim Corsi,1002644
Joe Cowley,1002690
Casey Cox,1002694
Danny Cox,1002695
Tim Crabtree,1002715
Jim Crawford,1002742
Steve Crawford,1002749
Tim Crews,1002765
Chuck Crim,1002768
Mike Cuellar,1002853
Ray Culp,1002869
George Culver,1002870
John Cumberland,1002871
John Curtis,1002905
John D'Acquisto,1002919
Bruce Dal Canton,1002936
Ron Darling,1002989
Danny Darwin,1002996
Mark Davis,1003067
Ron Davis,1003075
Storm Davis,1003080
Bill Dawley,1003090
Ken Dayley,1003097
Joe Decker,1003127
Jeff Dedmon,1003132
Jose DeJesus,1003151
Jose DeLeon,1003168
Luis DeLeon,1003169
Rich DeLucia,1003185
Larry Demery,1003192
John Denny,1003210
Jim Deshaies,1003228
Adrian Devine,1003243
Rob Dibble,1003269
Jason Dickson,1003278
Larry Dierker,1003288
Frank DiPino,1003320
Jerry Dipoto,1003321
Ken Dixon,1003331
Chuck Dobson,1003343
Pat Dobson,1003345
John Doherty,1003358
John Dopson,1003404
Richard Dotson,1003424
Al Downing,1003450
Kelly Downs,1003453
Doug Drabek,1003473
Dick Drago,1003475
Dave Dravecky,1003486
Rob Dressler,1003495
Mike Dunne,1003570
Steve Dunning,1003572
Jamie Easterly,1003639
Rawly Eastwick,1003648
Dennis Eckersley,1003660
Tom Edens,1003671
Juan Eichelberger,1003711
Mark Eichhorn,1003712
Dave Eiland,1003714
Dock Ellis,1003747
Roger Erickson,1003812
Nino Espinosa,1003830
Pete Falcone,1003910
Ed Farmer,1003935
John Farrell,1003948
Steve Farr,1003953
Alex Fernandez,1003993
Osvaldo Fernandez,1004000
Sid Fernandez,1004001
Mark Fidrych,1004023
Ed Figueroa,1004037
Tom Filer,1004040
Pete Filson,1004046
Rollie Fingers,1004051
Brian Fisher,1004077
Eddie Fisher,1004085
Al Fitzmorris,1004119
Mike Flanagan,1004133
Dave Fleming,1004145
Bryce Florie,1004172
Rich Folkers,1004203
Ray Fontenot,1004207
Bob Forsch,1004233
Ken Forsch,1004234
Terry Forster,1004236
Tony Fossas,1004242
Alan Foster,1004246
Kevin Foster,1004251
Steve Foucault,1004262
John Frascatore,1004304
Willie Fraser,1004306
George Frazier,1004308
Marvin Freeman,1004326
Dave Freisleben,1004333
Steve Frey,1004344
Danny Frisella,1004365
Todd Frohwirth,1004374
Dave Frost,1004376
Woodie Fryman,1004381
Rich Gale,1004444
Gene Garber,1004493
Ramon Garcia,1004511
Mike Gardiner,1004516
Mark Gardner,1004529
Wes Gardner,1004532
Wayne Garland,1004538
Mike Garman,1004539
Scott Garrelts,1004546
Jerry Garvin,1004558
Gary Gentry,1004614
Bob Gibson,1004662
Paul Gibson,1004671
Dave Giusti,1004748
Jerry Don Gleaton,1004772
Bill Gogolewski,1004802
Dave Goltz,1004818
Dwight Gooden,1004852
Rich Gossage,1004894
Jim Gott,1004898
Joe Grahe,1004939
Wayne Granger,1004945
Mark Grant,1004951
Tommy Greene,1005013
Tyler Green,1005014
Bill Greif,1005027
Tom Griffin,1005054
Ross Grimsley,1005071
Kevin Gross,1005088
Cecilio Guante,1005113
Mark Gubicza,1005115
Lee Guetterman,1005122
Ron Guidry,1005124
Don Gullett,1005134
Bill Gullickson,1005136
Larry Gura,1005150
Jose Guzman,1005160
Juan Guzman,1005162
Moose Haas,1005172
John Habyan,1005176
Ed Halicki,1005228
Tom Hall,1005262
Dave Hamilton,1005271
Atlee Hammaker,1005281
Rich Hand,1005301
Bill Hands,1005303
Preston Hanna,1005318
Erik Hanson,1005333
Steve Hargan,1005356
Mike Harkey,1005363
Pete Harnisch,1005374
Greg Harris,1005415
Greg Harris,1005416
Roric Harrison,1005430
Mike Hartley,1005451
Paul Hartzell,1005467
Bryan Harvey,1005469
Andy Hassler,1005480
Tom Hausman,1005505
Brad Havens,1005507
Andy Hawkins,1005514
Neal Heaton,1005568
Dave Heaverlo,1005569
Mike Hedlund,1005575
Tom Henke,1005649
Mike Henneman,1005656
Butch Henry,1005667
Doug Henry,1005668
Dwayne Henry,1005670
Gil Heredia,1005686
Ramon Hernandez,1005710
Willie Hernandez,1005714
Xavier Hernandez,1005715
Orel Hershiser,1005741
Joe Hesketh,1005747
Greg Hibbard,1005764
Bryan Hickerson,1005767
Teddy Higuera,1005799
Tom Hilgendorf,1005806
John Hiller,1005817
Shawn Hillegas,1005818
Ken Hill,1005827
Joe Hoerner,1005895
Guy Hoffman,1005906
Al Holland,1005947
Brian Holman,1005969
Chris Holt,1005983
