playerID,R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,HOF_member
brosisc01,522.0,514.0,51.0,0.25870380289234063,0.4231387252276379,0.0,3.0,915.0,39.0,0
brunato01,706.0,776.0,63.0,0.24715962004097597,0.43695287763084373,0.0,0.0,0.0,0.0,0
brutobi01,811.0,464.0,179.0,0.27406417112299464,0.39438502673796794,0.0,0.0,0.0,0.0,0
bucknbi01,569.0,541.0,117.0,0.29669200739675367,0.4051777275529073,0.0,0.0,0.0,0.0,0
buechst01,491.0,538.0,17.0,0.2473404255319149,0.39990328820116056,0.0,92.0,1228.0,5.0,0
bufordo01,709.0,413.0,199.0,0.2640212813123476,0.3790733761915318,0.0,390.0,343.0,0.0,0
buhneja01,673.0,794.0,6.0,0.25736738703339884,0.4995088408644401,0.0,0.0,0.0,0.0,0
bumbral01,699.0,362.0,237.0,0.2849186901314324,0.3829360659389619,0.0,0.0,0.0,0.0,0
burksel01,789.0,720.0,145.0,0.2886284722222222,0.4926215277777778,0.0,0.0,0.0,0.0,0
burleri01,628.0,436.0,72.0,0.2735868034600684,0.36290484811909074,0.0,92.0,6.0,1150.0,0
burnije01,768.0,830.0,67.0,0.25441619991383024,0.49569151227919,0.0,0.0,0.0,0.0,0
burnsge01,968.0,508.0,357.0,0.2902621722846442,0.38764044943820225,0.0,0.0,1.0,0.0,0
burnsge02,552.0,571.0,95.0,0.29833333333333334,0.41619047619047617,0.0,0.0,0.0,0.0,0
burroje01,606.0,738.0,15.0,0.26113943693194414,0.4460208379516737,0.0,0.0,0.0,0.0,0
bushdo01,991.0,337.0,353.0,0.24703737465815861,0.2982680036463081,0.0,0.0,1.0,1476.0,0
butlebr01,945.0,396.0,387.0,0.2867030965391621,0.3765027322404372,0.0,0.0,0.0,0.0,0
caldeiv01,468.0,443.0,96.0,0.2725060827250608,0.4422141119221411,0.0,0.0,0.0,0.0,0
callijo01,720.0,614.0,58.0,0.2695829094608342,0.45534079348931844,0.0,0.0,0.0,0.0,0
camildo01,904.0,924.0,55.0,0.2799686089856778,0.5006866784382971,0.0,0.0,0.0,0.0,0
