R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,predictions
1024.0,1041.0,67.0,0.3400724775891665,0.5857333587640664,0.0,0.0,0.0,0.0,1
782.0,513.0,160.0,0.27403737896870073,0.378518351722585,0.0,4.0,85.0,1082.0,0
766.0,778.0,56.0,0.25401129943502826,0.5001129943502824,0.0,0.0,1182.0,18.0,0
605.0,689.0,10.0,0.25379426644182124,0.4338111298482293,0.0,0.0,541.0,772.0,0
670.0,423.0,244.0,0.2944618599791013,0.3995820271682341,0.0,0.0,0.0,0.0,0
700.0,582.0,91.0,0.26839092643629425,0.4248463006147976,0.0,1200.0,10.0,133.0,0
414.0,509.0,17.0,0.2573814494482553,0.43483447658813,985.0,0.0,0.0,0.0,0
634.0,670.0,18.0,0.2825918762088975,0.42475822050290135,0.0,24.0,1374.0,5.0,0
792.0,761.0,100.0,0.2846587594789033,0.4785144857087303,0.0,6.0,15.0,0.0,0
598.0,498.0,64.0,0.2649374710514127,0.3967114404817045,0.0,1.0,1199.0,1.0,0
360.0,393.0,13.0,0.2882758620689655,0.4189655172413793,776.0,0.0,0.0,0.0,0
660.0,883.0,45.0,0.2975881261595547,0.4217068645640074,0.0,109.0,1281.0,2.0,0
593.0,746.0,35.0,0.288560411311054,0.455012853470437,0.0,0.0,65.0,0.0,0
607.0,368.0,173.0,0.3023663453111306,0.4288635699678645,0.0,1.0,5.0,1.0,0
660.0,858.0,27.0,0.2792075163398693,0.4889705882352941,0.0,0.0,0.0,0.0,0
487.0,581.0,79.0,0.25164864151938804,0.4178317066737009,0.0,1.0,1.0,1.0,0
920.0,904.0,145.0,0.2782065417126057,0.5014700477765527,48.0,0.0,0.0,0.0,0
725.0,789.0,50.0,0.2901077375122429,0.4472086190009794,0.0,0.0,0.0,0.0,0
625.0,424.0,123.0,0.2580777937847294,0.36118542910063794,0.0,1330.0,0.0,4.0,0
851.0,596.0,262.0,0.26158940397350994,0.4177704194260486,0.0,0.0,0.0,0.0,0
553.0,425.0,167.0,0.25703125,0.415625,0.0,0.0,0.0,0.0,0
862.0,386.0,521.0,0.2948156261409273,0.3893756845564075,0.0,0.0,0.0,0.0,0
555.0,603.0,89.0,0.2896135265700483,0.455072463768116,0.0,1.0,21.0,0.0,0
803.0,534.0,180.0,0.2980490631639946,0.4334556693065482,0.0,0.0,0.0,0.0,0
655.0,643.0,112.0,0.2809153894604241,0.43103086290153264,0.0,0.0,0.0,0.0,0
474.0,454.0,38.0,0.27264409881061297,0.4516620921012504,0.0,0.0,0.0,0.0,0
872.0,677.0,126.0,0.30874492195852044,0.4697455633953389,0.0,776.0,7.0,0.0,0
1146.0,1077.0,66.0,0.3225145199863341,0.5421933720532969,0.0,0.0,0.0,0.0,1
337.0,375.0,22.0,0.2611796982167353,0.3585733882030178,1161.0,0.0,0.0,0.0,0
521.0,555.0,79.0,0.2759827679052235,0.4674205708131395,0.0,0.0,0.0,0.0,0
787.0,770.0,211.0,0.2564793696869169,0.4725274725274725,0.0,122.0,75.0,0.0,0
717.0,603.0,294.0,0.29797882579403273,0.4071222329162657,0.0,0.0,0.0,1.0,0
749.0,775.0,100.0,0.2817733990147783,0.4604926108374384,0.0,0.0,0.0,0.0,0
592.0,624.0,125.0,0.2754942767950052,0.4562955254942768,0.0,0.0,0.0,0.0,0
893.0,653.0,322.0,0.3038461538461538,0.4399267399267399,0.0,1381.0,0.0,5.0,1
609.0,760.0,22.0,0.2616663115278074,0.4628169614319199,1154.0,0.0,0.0,0.0,0
601.0,779.0,112.0,0.2855782053724519,0.3871213564488474,0.0,0.0,1.0,0.0,0
668.0,615.0,20.0,0.2785571142284569,0.45023380093520377,0.0,2.0,1034.0,0.0,0
713.0,744.0,133.0,0.3185419968304279,0.4930948607652253,0.0,0.0,0.0,0.0,0
